,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review,pos_review_en,neg_review_en
16,Quecisa,Gran hotel para familias en Andorra,"La habitación era muy amplia y confortable.
Mención especial para el restaurante, teníamos media pensión y tanto el desayuno como la cena fueron formidables. Además su personal se desvive por ayudar.",Todo ok,España,10.0,En familia,Habitación Cuádruple Deluxe,2023-04-08,"The room was very spacious and comfortable.
Special mention for the restaurant, we had half board and both breakfast and dinner were formidable. In addition, its staff goes out of their way to help.",Everything OK
17,Ignasi,Excepcional,"El servicio del hotel inmegorable
Buena ubicacion cerca del centro
Habitacion grande y cama muy comoda",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-04-07,"Unbeatable hotel service
Good location near downtown
Large room and very comfortable bed",
18,Rose,Hotel muy confortable,"La habitación amplia, cama cómoda, desayuno muy bueno y personal muy amable.",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-04-07,"Spacious room, comfortable bed, very good breakfast and very friendly staff.",
19,Imma,Fantástico,"Es muy espacioso y está genial disponer de dos habitaciones y dos baños, así aunque compartas con los niños tienes cierta independencia.
Buen desayuno y servicio muy agradable.
Tocando a la zona comercial.
Parking bastante ancho y fácil de acceder.",Antes de hacer el check out quisimos volver a la habitación y como vieron que no había maletas la habían lavado y no pudimos entrar,España,9.0,En familia,Habitación Cuádruple Estándar,2023-04-06,"It is very spacious and it is great to have two bedrooms and two bathrooms, so even if you share with the children you have some independence.
Good breakfast and very nice service.
Touching the commercial area.
Parking quite wide and easy to access.",Before checking out we wanted to return to the room and as they saw that there were no suitcases they had washed it and we could not enter
20,Paula,Agradable,Lo cerca que estaba del parking,La tarjeta para abrir la puerta no funcionaba bien,España,8.0,En pareja,Habitación Doble Deluxe,2023-04-06,How close I was to the car park,The card to open the door did not work well
21,Laura,correcto,el desayuno. muy bueno y completo,detalles descuidados de la habitación,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2023-04-03,breakfast. very good and complete,Room details
22,Eduardo,nuena,en general todo,Parking coste elevado,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2023-03-29,"everything, in general",Parking high cost
23,David,Estancia inmejorable,"La ubicación del hotel es excelente en pleno centro de escaldes. El precio de los más bajos para un 4 estrellas por esa zona. Pero lo que realmente marca la diferencia es el servicio de restauración que ofrecen, no sólo no es un buffet como la mayoría, sino que la media pensión es a la carta y ofrecen una carta muy variada, con productos de mucha calidad y una cocina excelente. El servicio también es excepcional. La verdad fue una sorpresa contratar una media pensión y encontrarnos ese nivel de servicio, se agradece no tener que pasarte toda la cena levantándote a por la comida. Se ha convertido en nuestro hotel en Andorra para futuros viajes.",,España,10.0,En familia,Habitación Cuádruple Estándar,2023-03-27,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,
24,Anna,Relajante,"Es espectacular la amplitud de la habitación, con dos baños y dos estancias diferentes. La ubicación excelente, muy céntrico, el desayuno muy completo y el personal muy eficiente, hicieron un juego de magia a mi hijo pequeño que le encantó.",,España,10.0,En familia,Habitación Cuádruple Deluxe,2023-03-27,"The spaciousness of the room is spectacular, with two bathrooms and two different rooms. The excellent location, very central, the breakfast very complete and the staff very efficient, made a game of magic to my young son who loved it.",
25,Laia,Excepcional,El servicio con booking,,España,10.0,En pareja,Habitación Familiar,2023-03-27,Service with booking,
26,Ana,Excelente,"El alto nivel del CHEF y servicio de restaurant fue lo que más nos gustó, la amabilidad del equipo de recepción excelente, siempre atentos con gran profesionalidad y amabilidad , por supuesto volveremos a dormir en esas amplias y cómodas camas, frescor y buen olor en sábanas y todos sus complementos ...",No hubo nada que alterara nuestra estancia.,España,10.0,En familia,Habitación Cuádruple Estándar,2023-03-25,"The high level of the CHEF and restaurant service was what we liked the most, the kindness of the excellent reception team, always attentive with great professionalism and kindness , of course we will go back to sleep in those spacious and comfortable beds, freshness and good smell in sheets and all their accessories ...",There was nothing to alter our stay.
27,Nuria,Escapada familiar,"Fantástica ubicación, dispone de parking, habitaciones amplias",Hacía calor en la habitación,España,10.0,En familia,Habitación Familiar,2023-03-24,"Fantastic location, has parking, spacious rooms",The room was hot.
28,Estefania,¡Estancia estupenda!,"El staff fue muy amable y permitieron a mis padres realizar el check-in antes de la hora pactada sin ningún coste adicional. No es la primera vez que reservamos en este alojamiento y, como es usual, la estancia ha sido agradable y correcta para un fin de semana en Andorra. La ubicación es muy buena, el parking no muy espacioso (aunque suelen ser pequeños y estrechos en general) y recibieron una habitación tranquila. La cama muy cómoda y la habitación de un buen tamaño.",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-03-24,"The staff were very friendly and allowed my parents to check in before the agreed time at no extra cost. It is not the first time we booked this accommodation and, as usual, the stay has been pleasant and correct for a weekend in Andorra. The location is very good, the parking not very spacious (although they are usually small and narrow in general) and they received a quiet room. The bed is very comfortable and the room is a good size.",
29,Jaime,Muy bien,"localización, tamaño de las habitaciones y restaurante",.,España,8.0,En familia,Habitación Cuádruple Estándar,2023-03-23,"location, room size and restaurant",.
30,Raul,Muy bien,La ubicación perfecta en el centro de Escaldes. Habitación es grande los niños lo pasaron genial,"Los acabados, se ve mucho desgaste, suelo laminado por ejemplo. La iluminación de los baños para verte en el espejo muy mal, para afeitarse o maquillarse.
Los focos te quedan por detrás.",España,8.0,En familia,Habitación Cuádruple Estándar,2023-03-22,The perfect location in the centre of Escaldes. Room is great the kids had a great time,"The finishes, you see a lot of wear, laminate flooring for example. Lighting the bathrooms to see you in the mirror very badly, to shave or makeup.
The spotlights are behind you."
31,Nuria,Escapada en familia,Ubicación muy buena y dispone de parking. El personal muy amable,Por poner algo hacía calor en la habitación,España,10.0,En grupo,Habitación Familiar,2023-03-22,Very good location and has parking. Very friendly staff,For putting something it was hot in the room
32,Isabel,Excepcional,El espacio. La ubicación i la comida,"El parquing caro i lleno
Lentos a la hora de servir la comida entre plato i plato",España,10.0,En pareja,Habitación Cuádruple Deluxe,2023-03-19,The space. The location and the food,"Expensive and full parking
Slow at the time of serving the food between plate and plate"
33,David,muy bien,"conexión wifi , no funciona correctamente",,España,8.0,En familia,Habitación Familiar Deluxe,2023-03-18,"wifi connection, not working properly",
34,Juan,Muy bien,"Ubicación, tamaño habitación, ...","Pedí parking en una reserva con 2 meses de antelación, y me dijeron que no había",España,8.0,En familia,Habitación Cuádruple Estándar,2023-03-14,"Location, room size, ...","I asked for parking on a reservation 2 months in advance, and they told me that there was no"
35,Nuria,Muy bien,"cama, habitación, limpieza, ubicación",desayuno,España,8.0,En familia,Habitación Triple,2023-03-14,"bed, room, cleaning, location",breakfast
36,Carlos,Excepcional,La ubicación y las habitaciones. Todo muy nuevo.,Demasiado calor en las habitaciones.,España,10.0,En familia,Habitación Cuádruple Deluxe,2023-03-12,The location and the rooms. All very new.,Too hot in the rooms.
37,Josep,Muy buena experiencia en el centro de Escaldes,"La habitación, era enorme y con todos los servicios más modernos . Buen desayuno y atención del personal. 
Repetiremos",nada,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2023-03-10,"The room was huge and with all the most modern amenities. Good breakfast and staff attention. 
We will repeat",nothing
38,Carlos,Excepcional,"Restaurante, personal , habitación",,España,10.0,En familia,Habitación Cuádruple Deluxe,2023-03-08,"Restaurant, staff , room",
39,Alekseev,Excepcional,"ubicación, amplitud de las habitaciones!",,España,10.0,En familia,Habitación Triple,2023-03-07,"location, spaciousness of the rooms!",
40,Trini,Fantástico,Una habitación  muy amplia y cómoda y muy buena ubicación,"La habitación necesita alguna reforma, el Parquet y el mobiliario  muy estropeado",España,9.0,En grupo,Habitación Cuádruple Estándar,2023-03-06,A very spacious and comfortable room and very good location,"The room needs some renovation, the parquet and the furniture  very damaged"
41,Miguel,Hotel correcto por calidad-precio en Andorra.,"En mi caso tuve una habitación enorme y muy tranquila. El desayuno era muy bueno,  aunque no tenía mucha variedad la parte de la bollería y el pan recién hecho eran increibles. El restaurante del hotel también era de buena calidad con buena relación calidad-precio.
En mi caso no tuve problemas con el parking que había leido previamente otras críticas. Aunque considero que 20€ cada día es caro , pero todos los hoteles de Andorra tienen ese precio",Es un hotel catalogado como de 4 estrellas y quizás es un poco justo para 4 estrellas. Es un hotel antiguo parcialmente renovado. Criticaría el precio porque es muy caro para un hotel de su categoría pero la verdad es que comparando con el resto de hoteles de Andorra y la calidad-precio pués la verdad es que está bien. Criticaría los precios de todos los hoteles en general de Europa y gran parte del mundo que en el último año han subido de una manera desorbitada.,España,8.0,Persona que viaja sola,Habitación Individual,2023-03-06,"In my case I had a huge and very quiet room. The breakfast was very good,  although there was not much variety in the bakery part and the freshly made bread was incredible. The hotel restaurant was also of good quality with good value for money.
In my case I had no problems with the parking that I had previously read other reviews. Although I consider that 20€ every day is expensive , but all hotels in Andorra have that price","It's a 4-star hotel and maybe a bit fair for 4 stars. It is a partially renovated old hotel. I would criticize the price because it is very expensive for a hotel of its category but the truth is that compared to the rest of Andorra hotels and the quality-price, the truth is that it is fine. I would criticize the prices of all hotels in general in Europe and much of the world that in the last year have risen in an exorbitant way."
42,Marta,Excepcional,"En general todo,estaba limpio que para mi la limpieza  es importante y la cena muy buena y el desayuno perfecto mucha variedad",Yo busque un hotel céntrico para no tener que coger el coche para pasear por la calle centrica e ir a caldea y cuando llegamos al hotel nos dicen que el parking esta lleno tardemos 40 min en encontrar parking un sabado alas 19:00,España,10.0,En grupo,Habitación Cuádruple Deluxe,2023-03-06,"In general everything, it was clean that for me cleaning  is important and dinner very good and perfect breakfast a lot of variety",I look for a central hotel so we do not have to take the car to walk down the central street and go to Caldea and when we get to the hotel they tell us that the parking is full it takes 40 minutes to find parking on a Saturday at 19:00
43,Jose,Fantástico,Todo. Las instalaciones están muy bien y la cena excelente. El desayuno también muy bien.,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2023-03-05,Everything. The facilities are very good and the dinner excellent. Breakfast is also very good.,
44,Antonio,Excepcional,Todo en general,,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-03-02,"Everything, in general. ",
45,Jose,Fantástico,"el trato del personal del restaurante, fue excelente. A destacar el encargado Sr. Joao. 
Aunque todo el equipo es muy atento y profesional.","lamentablemente, nos tocó una habitación que estaba pendiente de renovar, teniendo en cuenta que nos dijeron que la mayoría estaban acabadas de serlo. No obstante, si era muy cómoda, espaciosa y estaba muy limpia.",España,9.0,En familia,Habitación Cuádruple Estándar,2023-03-01,"the treatment of the restaurant staff, was excellent. To highlight the manager Mr. Joao. 
Although the whole team is very attentive and professional.","unfortunately, we were touched by a room that was pending renovation, considering that we were told that most were just finished. However, if it was very comfortable, spacious and very clean."
46,Vicente,Fantástico,El hotel en general muy bien. El personal del restaurante es extraordinario (TODOS). La carta del restaurante está muy conseguida. Muchas gracias a todo el personal por su atención. Para repetir sin duda.,,España,9.0,En familia,Habitación Familiar,2023-02-28,The hotel in general is very good. The restaurant staff is extraordinary (ALL). The letter from the restaurant is very well received. Thank you to all the staff for their attention. To repeat without a doubt.,
47,Sorin,Excepcional,Personal,Las camas,España,10.0,En pareja,Habitación Cuádruple Estándar,2023-02-27,Staff,The beds
48,Acedo,Muy bien,"La amplitud de la habitación, la ubicación",La limpieza en algunas camas,España,8.0,En grupo,Habitación Doble Deluxe,2023-02-26,"The spaciousness of the room, the location",Cleanliness in some beds
49,Bill,Buena experiencia. Recomendable.,"La habitacion. Son grandes y comodas.
Si restaurante y el trato de Joao.","Quizá y como critica constructiva, le falta una especie de zona tipo bar mas ambientada, donde te puedas tomar algo con musica y algo de entretenimiento. Pero tiene un salon habilitado para sentarse, con mesas y una television.",España,10.0,En familia,Habitación Triple,2023-02-26,"The room. They are large and comfortable.
If restaurant and Joao's deal.","Perhaps and as a constructive criticism, it lacks a kind of more atmospheric bar type area, where you can have a drink with music and some entertainment. But it has a sitting room, with tables and a television."
50,Lidia,Fantástico,"Ubicación muy buena. El desayuno muy bueno,.La cena ala carta buenisima",,España,9.0,En familia,Habitación Triple,2023-02-25,"Very good location. The breakfast very good,.The dinner à la carte very good",
51,Rosa,Buena elección para pasar unos días en Andorra La Vella,"Ubicación. 
Habitación familiar grande, espaciosa y con dos baños.",Pequeños detalles de mejora en mantenimiento y renovación de mobiliario.,España,8.0,En grupo,Habitación Cuádruple Estándar,2023-02-24,"Location. 
Large, spacious family room with two bathrooms.",Small details of improvement in maintenance and renovation of furniture.
52,Berta,Muy bien,Pasamos demasiado calor por las noches,,España,8.0,En familia,Habitación Cuádruple Estándar,2023-02-23,We get too hot at night.,
53,Luis,Todo perfecto,"Excelente hotel. 
Lástima no sea algo más económico.",Precio,España,10.0,En pareja,Habitación Doble Deluxe,2023-02-23,"Excellent hotel. 
Too bad it is not something cheaper.",Price
54,Jordi,Sin duda repetiré,"Instalaciones amplias, limpias y con ambiente muy agradable. El personal muy amable.",Todo Bien.,España,9.0,Persona que viaja sola,Habitación Doble - 1 o 2 camas,2023-02-23,"Spacious, clean facilities with a very pleasant atmosphere. Very friendly staff.",Everything’s fine.
55,Eduardo,Fantástico,"El trato familiar, la ubicación y el servicio en el comedor. Todo facilidades",Me gustó todo,España,9.0,En familia,Habitación Cuádruple Deluxe,2023-02-22,"The family treatment, the location and the service in the dining room. All facilities",I liked everything
56,Albert,Se podria mejorar distribucion habitacion,Zona donde estaba ubicado,Hubiese estdo bien que las 2 camas hubiesen sido de matrimonio y no una litera y una de matrimonio,España,9.0,En grupo,Habitación Cuádruple Estándar,2023-02-22,Area where it was located,It would have been nice if the two beds had been for marriage and not a bunk bed and one for marriage
57,Alvaro_lopez,Muy bien,"Habitación cuádruple muy grande, con doble baño. Ideal para familias.",El parking es muy pequeño y problemático para coches grandes.,España,8.0,En grupo,Habitación Cuádruple Estándar,2023-02-20,"Quadruple room very large, with double bathroom. Ideal for families.",Parking is very small and problematic for large cars.
58,Jose,Buen hotel,El tamaño de la habitación,Todo bien,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2023-02-20,Room Size,Everything is good
59,Jose,Volveremos,Personal del restaurante extremadamente educado y simpático. No es la primera vez que vamos ni será la última.,"creo que el parking debería de tener la posibilidad de reservarse a la vez que la habitación, te puedes encontrar con que llegas al hotel y no hay sitio, como nos pasó, una pena !",España,10.0,En familia,Habitación Triple,2023-02-19,"Extremely polite and friendly restaurant staff. It's not the first time we're going, and it won't be the last.","i think that the parking should have the possibility of being booked at the same time as the room, you can find that you arrive at the hotel and there is no place, as happened to us, a pity !"
60,Ursula,Perfecto,"La ubicación, comodidad, todo limpio, y habitaciones renovadas.",Nada,España,10.0,En grupo,Habitación Familiar,2023-02-19,"The location, comfort, all clean, and renovated rooms.",Nothing
61,Lidia,Excepcional,todo,,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-02-16,everything,
62,Analia,Excelente estadia!,"Habitación muy comoda y limpia.
Excelente atención del personal de comedor, en especial Muriel.
El regimen de media pension, muy bueno, la comida exquisita.",Podrían mejorar el check in es un poco lento.,Argentina,9.0,En familia,Habitación Familiar Deluxe,2023-02-15,"Very comfortable and clean room.
Excellent attention from the dining room staff, especially Muriel.
The half board regime, very good, exquisite food.",They could improve the check in is a bit slow.
63,Maryana,Excepcional,"El desayuno muy bueno, todo fresco. Los camareros muy amables y atentos!
La habitación muy acogedora.
La luz de la habitación mencanto, cuando te despiertas y pones la luz no te deslbra. Esta muy bien pensada la instalacion.","Las camas un poco incomodas y duras.
El parking enano, para entrar con mucho cuidado y dar la vuelta al coche hay que hacer milagros. Muy estrechos los pasillos.",España,10.0,En familia,Habitación Cuádruple Deluxe,2023-02-14,"Very good breakfast, all fresh. Very friendly and attentive waiters!
The room is very cozy.
The light in the room wakes you up and puts the light on. The installation is very well thought out.","The beds are a bit uncomfortable and hard.
The dwarf parking, to enter very carefully and turn the car you have to do miracles. Very narrow corridors."
64,Paulo,excelente,todo en general,nada que decir…,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-02-13,"Everything, in general. ",I'd say that&#x0D;
65,María,"Sin ninguna duda, repetiré.",La amplitud de la estancia y el buen trato de los trabajadores.,,España,10.0,En pareja,Habitación Doble Deluxe,2023-02-12,The breadth of the stay and the good treatment of the workers.,
66,Diana,100% recomendable,"todo perfecto, ubicación, desayuno, atención, todo 👌",,España,10.0,En grupo,Habitación Familiar Deluxe,2023-02-09,"everything perfect, location, breakfast, attention, everything 👌",
67,Angel,Muy bien,"la habitación es muy grande, la cama principal tambien","no me guardaron parquing ninguno de los dos días y lo pedí.
la cisterna hacía ruido constante.",España,8.0,En familia,Habitación Cuádruple Estándar,2023-02-09,"the room is very large, the main bed is also","they didn't keep me parking any of the two days and I asked for it.
the cistern made constant noise."
68,Tamara,Fantástico,Habitación muy amplia y cómoda.,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2023-02-07,Very spacious and comfortable room.,
69,Cristina,Fantástico,Desayuno buenisimo,,España,9.0,En familia,Habitación Cuádruple Deluxe,2023-02-06,Great breakfast,
70,Mark,Muy bien,La habitación es enorme,"Parking pequeño y pocas plazas, tenemos un Nissan QQ",España,8.0,En pareja,Habitación Doble Deluxe,2023-02-06,And the room is huge.,"Small car park and few seats, we have a Nissan QQ"
71,Neus,Muy buen alojamiento,"Habitación grande y bonita 
Todo muy limpio
Buena ubicación","Todo correcto
No hay nada que no me gustara
Volveremos sin duda",España,10.0,En familia,Habitación Cuádruple Estándar,2023-02-05,"Large and nice room 
All very clean
Good location","All right.
There's nothing I wouldn't like.
We'll definitely be back."
72,Anna,Buen hotel,"La ubicación, la limpieza, la habitacion àmplia y la ducha.","Cada dia teniamos que hacer las camas de las literas, poner el nordico.
El desayuno flojo y los zumos són inbebibles.",España,8.0,En grupo,Habitación Cuádruple Deluxe,2023-02-05,"Location, cleanliness, spacious room and shower.","Every day we had to make the bunk beds, put the Nordic.
Loose breakfast and juices are unbeatable."
73,Oriol,Muy bien,Ubicacion,,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2023-02-03,Location,
74,Gaston,Fantástico,"Muy buena ubicación, desayuno muy completo",,España,9.0,En familia,Habitación Cuádruple Estándar,2023-02-02,"Very good location, very full breakfast",
75,Monica,Una habitación cuadruple brutal!,"Lo grande y bien mantenida que estaba la habitación. Es tan grande que parece un piso! Muebles modernos y cuadros de fotografias de Andorra muy bonitas (nada horteras como en muchos hoteles. Agua y zumos gratis en el mini bar a la llegada! Aunque el agua del grifo de Andorra es fenomenal! Calentador de agua y infusiones en la habitación! Agua en la recepción y algun minicroissant! Habitaciones cuadriples gigantes!! con 2 lavabos completos, literas y 2 smarthTV!! Feliz porque normalmente las habitaciones triples o cuatriples son con sofás cama, pero en este hotel son una literas espaciosas modernas y bonitas. La cama de matrimonio muy grande y con colchon de calidad. Hasta las almohadas eran geniales (yo lo paso fatal con las almohadas de los hoteles que suelen estar muy aplastadas del uso). La habitación tenía 2 super wc completos con ducha los 2 y gel, champu, body milk y gel de manos. Wifi gratis! Armarios super grandes. Sofa de 3 plazas muy nuevo y mucho espacio libre. Cortinas de foscurit de calidad, bonitas y modernas!! La verdad es que esperaba que lloviera para quedarme un buen rato en la habitación! Habia hasta un aro de luz para selfies e Instagramers! Un flipe! Limpieza 10!!
Desayuno muy bueno! Mesas grandes para familias. Las pastas estàn buenisimas! el pan muy bueno y gran variedad para los pequeños. Café de cápsula!!! un lujo!!!! Tomamos algo en la cafeteria y muy bien, muy agradable y las raciones de patatas chips gigantes! Paquing muy bien. Genial para cargar y descargar con ascensor directo a las habitaciones.
Parquing público muy cerca y barato. 
Zona super céntrica y tranquila pero a 2 min de tiendas y restaurantea buenisimos.y variados alrededor.
Personal muy profesional atento y simpático! sin duda volveremos!!! De todos los hoteles que he estado en Andorra (voy 4 veces al años en invierno y en verano)  todos de 4*, es el mejor de todos!!!
A partir de ahora será nuestro hotel!",No hubo nada que no me gustara. La verdad es que flipé bastante. No me esperaba que estuviera tan bien. Sólo que logicamente al ser un hotel céntrico no tiene buenas vistas.,España,10.0,En familia,Habitación Triple,2023-02-02,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,"There was nothing I didn't like. Actually, I freaked out quite a bit. I didn't expect it to be so good. Only logically being a centrally located hotel does not have good views."
76,Maria,muy buena,muy linda habitación y muy bien ubicado,un poco caro,España,10.0,En familia,Habitación Cuádruple Deluxe,2023-02-01,very nice room and very well located,A bit pricey
77,Umaima,Excepcional,muy amplio limpio tranquilo muy amables todo excelente,,España,10.0,En familia,Habitación Familiar,2023-02-01,very spacious clean quiet very friendly all excellent,
78,Brenda,Fantástico,"Todo desde la habitación , la zona y la limpieza y el restaurante",El parking,España,9.0,En pareja,Habitación Cuádruple Estándar,2023-01-31,"Everything from the room , the area and the cleaning and the restaurant",the Parking
79,Maria,Excepcional,"Ubicación.
Limpieza.
Calefacción.","Colchones muy blandos.
Elevado precio desayuno.",España,10.0,En familia,Habitación Cuádruple Estándar,2023-01-31,"Location.
Cleaning.
Heating.","Very soft mattresses.
High breakfast price."
80,Etha,Excepcional,todo,,Francia,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-01-31,everything,
81,David,Muy bien,"La ubicación es muy buena, la habitación muy grande, con espacio separado para los niños con su baño propio. La cama muy grande y colchones muy comodos. En general todo perfecto.",La temperatura para mi gusto muy elevada aún apagando la calefacción estaba a 23 grados.,España,8.0,En familia,Habitación Cuádruple Deluxe,2023-01-30,"The location is very good, the room very large, with separate space for children with their own bathroom. Very large bed and very comfortable mattresses. Overall everything is perfect.",The temperature for my very high taste even turning off the heating was at 23 degrees.
82,Sanchez,buen servicio y sobre todo buenísima comida,mucho,,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2023-01-29,A lot.,
83,Marisa,Estancia perfecta,"Hotel céntrico, habitación amplia, restauración muy buena, la atención por parte del personal sobre todo del comedor extraordinaria. Siempre que vamos apostamos por este hotel y no nos defrauda. Sin duda volveremos.",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2023-01-29,"Central hotel, spacious room, very good restaurant, the attention by the staff especially the extraordinary dining room. Whenever we go we bet on this hotel and it does not disappoint us. We'll definitely be back.",
84,Carlos,excelente alojamiento con un trato exquisito. Recomendable 100%,"personal, decoración funcional con amplias habitaciones",plazas de parking limitadas aunque dispones de varios aparcamientos públicos muy cercanos,España,10.0,Persona que viaja sola,Habitación Doble - 1 o 2 camas,2023-01-28,"staff, functional decor with spacious rooms",limited parking spaces although you have several public parking lots nearby
85,Iván,Excepcional,"habitación grande, moderna y limpia",,España,10.0,En grupo,Habitación Doble - 1 o 2 camas,2023-01-28,"large, modern and clean room",
86,Alex,Espacio ideal para descanso en familia,confort habitación y la atención del servicio,nada en concreto,España,10.0,En familia,Habitación Triple,2023-01-27,comfort Room and Service Attention,Unspecified
87,Carlos,de 10,todo,nada,España,10.0,En grupo,Habitación Cuádruple Deluxe,2023-01-26,everything,nothing
