client,nationality,title,pos_review,pos_review_en,pos_compound,pos_comp_score,len_pos_review,neg_review,neg_review_en,neg_compound,neg_comp_score,len_neg_review,date_review,year_review,month_review,score,score_2,travel_type,room_type
Conchi,España,fantastica,"Nos encanto que la habitación cuádruple estuviese en dos espacios independientes con su propia televisión y baño, las camas muy cómodas y la media pensión de lujo,además muy cerca de la zona comercial.","We loved that the quadruple room was in two independent spaces with its own television and bathroom, very comfortable beds and luxury half board,also very close to the commercial area.",0.8173,positive,201,"por decir algo el tema de los baños está un poco dejado, limpio pero necesitaría un poco de reforma , por el resto genial","to say something the theme of the bathrooms is a bit left, clean but would need a little reform , for the rest great",0.8176,positive,121,2023-04-10,2023,4,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Meritxell,España,Bien. Muy buena ubicación,La habitación,The bedroom,0.0,neutral,13,Pocas zonas comunes,Few common areas,0.0,neutral,19,2023-04-10,2023,4,8.0,Good,En familia,Habitación Cuádruple Deluxe
Rodrigo,España,Muy bien todo en general,"Ubicación
Desayuno
Limpieza
Habitación","Location
Breakfast
Cleaning
Room",0.0,neutral,38,,,,,0,2023-04-10,2023,4,9.0,Wonderful,En pareja,Habitación Triple
Merce,España,Finde increíble en familia,"La ubicación,  el tamaño de la habitación y como estaba distribuida","The location,  the size of the room and how it was distributed",0.0,neutral,67,,,,,0,2023-04-10,2023,4,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Esther,España,Excepcional,"Encantada, volveré, las cenas maravillosas y el personal muy agradable.","Delighted, I will be back, wonderful dinners and very nice staff.",0.8777,positive,71,,,,,0,2023-04-09,2023,4,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Emilio,España,hotel cerca de la calle principal de Andorra ideal para familia con hijos.,La habitación es amplia con dos zonas para dormir separadas y dos baños.,The room is spacious with two separate sleeping areas and two bathrooms.,0.0,neutral,72,El desayuno,Breakfast,0.0,neutral,11,2023-04-09,2023,4,8.0,Good,En familia,Habitación Triple
Quecisa,España,Gran hotel para familias en Andorra,"La habitación era muy amplia y confortable.
Mención especial para el restaurante, teníamos media pensión y tanto el desayuno como la cena fueron formidables. Además su personal se desvive por ayudar.","The room was very spacious and comfortable.
Special mention for the restaurant, we had half board and both breakfast and dinner were formidable. In addition, its staff goes out of their way to help.",0.8387,positive,199,Todo ok,Everything OK,0.4466,positive,7,2023-04-08,2023,4,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Ignasi,España,Excepcional,"El servicio del hotel inmegorable
Buena ubicacion cerca del centro
Habitacion grande y cama muy comoda","Unbeatable hotel service
Good location near downtown
Large room and very comfortable bed",0.7574,positive,102,,,,,0,2023-04-07,2023,4,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Rose,España,Hotel muy confortable,"La habitación amplia, cama cómoda, desayuno muy bueno y personal muy amable.","Spacious room, comfortable bed, very good breakfast and very friendly staff.",0.8746,positive,76,,,,,0,2023-04-07,2023,4,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Imma,España,Fantástico,"Es muy espacioso y está genial disponer de dos habitaciones y dos baños, así aunque compartas con los niños tienes cierta independencia.
Buen desayuno y servicio muy agradable.
Tocando a la zona comercial.
Parking bastante ancho y fácil de acceder.","It is very spacious and it is great to have two bedrooms and two bathrooms, so even if you share with the children you have some independence.
Good breakfast and very nice service.
Touching the commercial area.
Parking quite wide and easy to access.",0.9377,positive,248,Antes de hacer el check out quisimos volver a la habitación y como vieron que no había maletas la habían lavado y no pudimos entrar,Before checking out we wanted to return to the room and as they saw that there were no suitcases they had washed it and we could not enter,-0.296,negative,131,2023-04-06,2023,4,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Paula,España,Agradable,Lo cerca que estaba del parking,How close I was to the car park,0.0,neutral,31,La tarjeta para abrir la puerta no funcionaba bien,The card to open the door did not work well,-0.2057,negative,50,2023-04-06,2023,4,8.0,Good,En pareja,Habitación Doble Deluxe
Laura,España,correcto,el desayuno. muy bueno y completo,breakfast. very good and complete,0.4927,positive,33,detalles descuidados de la habitación,Room details,0.0,neutral,37,2023-04-03,2023,4,8.0,Good,En pareja,Habitación Doble - 1 o 2 camas
Eduardo,España,nuena,en general todo,"everything, in general",0.0,neutral,15,Parking coste elevado,Parking high cost,0.0,neutral,21,2023-03-29,2023,3,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
David,España,Estancia inmejorable,"La ubicación del hotel es excelente en pleno centro de escaldes. El precio de los más bajos para un 4 estrellas por esa zona. Pero lo que realmente marca la diferencia es el servicio de restauración que ofrecen, no sólo no es un buffet como la mayoría, sino que la media pensión es a la carta y ofrecen una carta muy variada, con productos de mucha calidad y una cocina excelente. El servicio también es excepcional. La verdad fue una sorpresa contratar una media pensión y encontrarnos ese nivel de servicio, se agradece no tener que pasarte toda la cena levantándote a por la comida. Se ha convertido en nuestro hotel en Andorra para futuros viajes.",QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,0.0,neutral,651,,,,,0,2023-03-27,2023,3,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Anna,España,Relajante,"Es espectacular la amplitud de la habitación, con dos baños y dos estancias diferentes. La ubicación excelente, muy céntrico, el desayuno muy completo y el personal muy eficiente, hicieron un juego de magia a mi hijo pequeño que le encantó.","The spaciousness of the room is spectacular, with two bathrooms and two different rooms. The excellent location, very central, the breakfast very complete and the staff very efficient, made a game of magic to my young son who loved it.",0.8932,positive,240,,,,,0,2023-03-27,2023,3,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Laia,España,Excepcional,El servicio con booking,Service with booking,0.0,neutral,23,,,,,0,2023-03-27,2023,3,10.0,Wonderful,En pareja,Habitación Familiar
Ana,España,Excelente,"El alto nivel del CHEF y servicio de restaurant fue lo que más nos gustó, la amabilidad del equipo de recepción excelente, siempre atentos con gran profesionalidad y amabilidad , por supuesto volveremos a dormir en esas amplias y cómodas camas, frescor y buen olor en sábanas y todos sus complementos ...","The high level of the CHEF and restaurant service was what we liked the most, the kindness of the excellent reception team, always attentive with great professionalism and kindness , of course we will go back to sleep in those spacious and comfortable beds, freshness and good smell in sheets and all their accessories ...",0.9731,positive,304,No hubo nada que alterara nuestra estancia.,There was nothing to alter our stay.,0.0,neutral,43,2023-03-25,2023,3,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Nuria,España,Escapada familiar,"Fantástica ubicación, dispone de parking, habitaciones amplias","Fantastic location, has parking, spacious rooms",0.5574,positive,62,Hacía calor en la habitación,The room was hot.,0.0,neutral,28,2023-03-24,2023,3,10.0,Wonderful,En familia,Habitación Familiar
Estefania,España,¡Estancia estupenda!,"El staff fue muy amable y permitieron a mis padres realizar el check-in antes de la hora pactada sin ningún coste adicional. No es la primera vez que reservamos en este alojamiento y, como es usual, la estancia ha sido agradable y correcta para un fin de semana en Andorra. La ubicación es muy buena, el parking no muy espacioso (aunque suelen ser pequeños y estrechos en general) y recibieron una habitación tranquila. La cama muy cómoda y la habitación de un buen tamaño.","The staff were very friendly and allowed my parents to check in before the agreed time at no extra cost. It is not the first time we booked this accommodation and, as usual, the stay has been pleasant and correct for a weekend in Andorra. The location is very good, the parking not very spacious (although they are usually small and narrow in general) and they received a quiet room. The bed is very comfortable and the room is a good size.",0.9491,positive,473,,,,,0,2023-03-24,2023,3,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Jaime,España,Muy bien,"localización, tamaño de las habitaciones y restaurante","location, room size and restaurant",0.0,neutral,54,.,.,0.0,neutral,1,2023-03-23,2023,3,8.0,Good,En familia,Habitación Cuádruple Estándar
Raul,España,Muy bien,La ubicación perfecta en el centro de Escaldes. Habitación es grande los niños lo pasaron genial,The perfect location in the centre of Escaldes. Room is great the kids had a great time,0.9169,positive,96,"Los acabados, se ve mucho desgaste, suelo laminado por ejemplo. La iluminación de los baños para verte en el espejo muy mal, para afeitarse o maquillarse.
Los focos te quedan por detrás.","The finishes, you see a lot of wear, laminate flooring for example. Lighting the bathrooms to see you in the mirror very badly, to shave or makeup.
The spotlights are behind you.",-0.5256,negative,186,2023-03-22,2023,3,8.0,Good,En familia,Habitación Cuádruple Estándar
Nuria,España,Escapada en familia,Ubicación muy buena y dispone de parking. El personal muy amable,Very good location and has parking. Very friendly staff,0.7708,positive,64,Por poner algo hacía calor en la habitación,For putting something it was hot in the room,0.0,neutral,43,2023-03-22,2023,3,10.0,Wonderful,En grupo,Habitación Familiar
Isabel,España,Excepcional,El espacio. La ubicación i la comida,The space. The location and the food,0.0,neutral,36,"El parquing caro i lleno
Lentos a la hora de servir la comida entre plato i plato","Expensive and full parking
Slow at the time of serving the food between plate and plate",0.0,neutral,81,2023-03-19,2023,3,10.0,Wonderful,En pareja,Habitación Cuádruple Deluxe
David,España,muy bien,"conexión wifi , no funciona correctamente","wifi connection, not working properly",0.0,neutral,41,,,,,0,2023-03-18,2023,3,8.0,Good,En familia,Habitación Familiar Deluxe
Juan,España,Muy bien,"Ubicación, tamaño habitación, ...","Location, room size, ...",0.0,neutral,33,"Pedí parking en una reserva con 2 meses de antelación, y me dijeron que no había","I asked for parking on a reservation 2 months in advance, and they told me that there was no",-0.296,negative,80,2023-03-14,2023,3,8.0,Good,En familia,Habitación Cuádruple Estándar
Nuria,España,Muy bien,"cama, habitación, limpieza, ubicación","bed, room, cleaning, location",0.0,neutral,37,desayuno,breakfast,0.0,neutral,8,2023-03-14,2023,3,8.0,Good,En familia,Habitación Triple
Carlos,España,Excepcional,La ubicación y las habitaciones. Todo muy nuevo.,The location and the rooms. All very new.,0.0,neutral,48,Demasiado calor en las habitaciones.,Too hot in the rooms.,0.0,neutral,36,2023-03-12,2023,3,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Josep,España,Muy buena experiencia en el centro de Escaldes,"La habitación, era enorme y con todos los servicios más modernos . Buen desayuno y atención del personal. 
Repetiremos","The room was huge and with all the most modern amenities. Good breakfast and staff attention. 
We will repeat",0.6666,positive,118,nada,nothing,0.0,neutral,4,2023-03-10,2023,3,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Carlos,España,Excepcional,"Restaurante, personal , habitación","Restaurant, staff , room",0.0,neutral,34,,,,,0,2023-03-08,2023,3,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Alekseev,España,Excepcional,"ubicación, amplitud de las habitaciones!","location, spaciousness of the rooms!",0.0,neutral,40,,,,,0,2023-03-07,2023,3,10.0,Wonderful,En familia,Habitación Triple
Trini,España,Fantástico,Una habitación  muy amplia y cómoda y muy buena ubicación,A very spacious and comfortable room and very good location,0.7755,positive,57,"La habitación necesita alguna reforma, el Parquet y el mobiliario  muy estropeado","The room needs some renovation, the parquet and the furniture  very damaged",-0.4927,negative,81,2023-03-06,2023,3,9.0,Wonderful,En grupo,Habitación Cuádruple Estándar
Miguel,España,Hotel correcto por calidad-precio en Andorra.,"En mi caso tuve una habitación enorme y muy tranquila. El desayuno era muy bueno,  aunque no tenía mucha variedad la parte de la bollería y el pan recién hecho eran increibles. El restaurante del hotel también era de buena calidad con buena relación calidad-precio.
En mi caso no tuve problemas con el parking que había leido previamente otras críticas. Aunque considero que 20€ cada día es caro , pero todos los hoteles de Andorra tienen ese precio","In my case I had a huge and very quiet room. The breakfast was very good,  although there was not much variety in the bakery part and the freshly made bread was incredible. The hotel restaurant was also of good quality with good value for money.
In my case I had no problems with the parking that I had previously read other reviews. Although I consider that 20€ every day is expensive , but all hotels in Andorra have that price",0.6357,positive,449,Es un hotel catalogado como de 4 estrellas y quizás es un poco justo para 4 estrellas. Es un hotel antiguo parcialmente renovado. Criticaría el precio porque es muy caro para un hotel de su categoría pero la verdad es que comparando con el resto de hoteles de Andorra y la calidad-precio pués la verdad es que está bien. Criticaría los precios de todos los hoteles en general de Europa y gran parte del mundo que en el último año han subido de una manera desorbitada.,"It's a 4-star hotel and maybe a bit fair for 4 stars. It is a partially renovated old hotel. I would criticize the price because it is very expensive for a hotel of its category but the truth is that compared to the rest of Andorra hotels and the quality-price, the truth is that it is fine. I would criticize the prices of all hotels in general in Europe and much of the world that in the last year have risen in an exorbitant way.",0.5499,positive,467,2023-03-06,2023,3,8.0,Good,Persona que viaja sola,Habitación Individual
Marta,España,Excepcional,"En general todo,estaba limpio que para mi la limpieza  es importante y la cena muy buena y el desayuno perfecto mucha variedad","In general everything, it was clean that for me cleaning  is important and dinner very good and perfect breakfast a lot of variety",0.8923,positive,126,Yo busque un hotel céntrico para no tener que coger el coche para pasear por la calle centrica e ir a caldea y cuando llegamos al hotel nos dicen que el parking esta lleno tardemos 40 min en encontrar parking un sabado alas 19:00,I look for a central hotel so we do not have to take the car to walk down the central street and go to Caldea and when we get to the hotel they tell us that the parking is full it takes 40 minutes to find parking on a Saturday at 19:00,0.0,neutral,229,2023-03-06,2023,3,10.0,Wonderful,En grupo,Habitación Cuádruple Deluxe
Jose,España,Fantástico,Todo. Las instalaciones están muy bien y la cena excelente. El desayuno también muy bien.,Everything. The facilities are very good and the dinner excellent. Breakfast is also very good.,0.8775,positive,89,,,,,0,2023-03-05,2023,3,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Antonio,España,Excepcional,Todo en general,"Everything, in general. ",0.0,neutral,15,,,,,0,2023-03-02,2023,3,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Jose,España,Fantástico,"el trato del personal del restaurante, fue excelente. A destacar el encargado Sr. Joao. 
Aunque todo el equipo es muy atento y profesional.","the treatment of the restaurant staff, was excellent. To highlight the manager Mr. Joao. 
Although the whole team is very attentive and professional.",0.7269,positive,139,"lamentablemente, nos tocó una habitación que estaba pendiente de renovar, teniendo en cuenta que nos dijeron que la mayoría estaban acabadas de serlo. No obstante, si era muy cómoda, espaciosa y estaba muy limpia.","unfortunately, we were touched by a room that was pending renovation, considering that we were told that most were just finished. However, if it was very comfortable, spacious and very clean.",0.6353,positive,213,2023-03-01,2023,3,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Vicente,España,Fantástico,El hotel en general muy bien. El personal del restaurante es extraordinario (TODOS). La carta del restaurante está muy conseguida. Muchas gracias a todo el personal por su atención. Para repetir sin duda.,The hotel in general is very good. The restaurant staff is extraordinary (ALL). The letter from the restaurant is very well received. Thank you to all the staff for their attention. To repeat without a doubt.,0.8577,positive,204,,,,,0,2023-02-28,2023,2,9.0,Wonderful,En familia,Habitación Familiar
Sorin,España,Excepcional,Personal,Staff,0.0,neutral,8,Las camas,The beds,0.0,neutral,9,2023-02-27,2023,2,10.0,Wonderful,En pareja,Habitación Cuádruple Estándar
Acedo,España,Muy bien,"La amplitud de la habitación, la ubicación","The spaciousness of the room, the location",0.0,neutral,42,La limpieza en algunas camas,Cleanliness in some beds,0.0,neutral,28,2023-02-26,2023,2,8.0,Good,En grupo,Habitación Doble Deluxe
Bill,España,Buena experiencia. Recomendable.,"La habitacion. Son grandes y comodas.
Si restaurante y el trato de Joao.","The room. They are large and comfortable.
If restaurant and Joao's deal.",0.5106,positive,72,"Quizá y como critica constructiva, le falta una especie de zona tipo bar mas ambientada, donde te puedas tomar algo con musica y algo de entretenimiento. Pero tiene un salon habilitado para sentarse, con mesas y una television.","Perhaps and as a constructive criticism, it lacks a kind of more atmospheric bar type area, where you can have a drink with music and some entertainment. But it has a sitting room, with tables and a television.",-0.0129,neutral,227,2023-02-26,2023,2,10.0,Wonderful,En familia,Habitación Triple
Lidia,España,Fantástico,"Ubicación muy buena. El desayuno muy bueno,.La cena ala carta buenisima","Very good location. The breakfast very good,.The dinner à la carte very good",0.7496,positive,71,,,,,0,2023-02-25,2023,2,9.0,Wonderful,En familia,Habitación Triple
Rosa,España,Buena elección para pasar unos días en Andorra La Vella,"Ubicación. 
Habitación familiar grande, espaciosa y con dos baños.","Location. 
Large, spacious family room with two bathrooms.",0.0,neutral,66,Pequeños detalles de mejora en mantenimiento y renovación de mobiliario.,Small details of improvement in maintenance and renovation of furniture.,0.4588,positive,72,2023-02-24,2023,2,8.0,Good,En grupo,Habitación Cuádruple Estándar
Berta,España,Muy bien,Pasamos demasiado calor por las noches,We get too hot at night.,0.0,neutral,38,,,,,0,2023-02-23,2023,2,8.0,Good,En familia,Habitación Cuádruple Estándar
Luis,España,Todo perfecto,"Excelente hotel. 
Lástima no sea algo más económico.","Excellent hotel. 
Too bad it is not something cheaper.",0.0516,neutral,52,Precio,Price,0.0,neutral,6,2023-02-23,2023,2,10.0,Wonderful,En pareja,Habitación Doble Deluxe
Jordi,España,Sin duda repetiré,"Instalaciones amplias, limpias y con ambiente muy agradable. El personal muy amable.","Spacious, clean facilities with a very pleasant atmosphere. Very friendly staff.",0.8685,positive,84,Todo Bien.,Everything’s fine.,0.2023,positive,10,2023-02-23,2023,2,9.0,Wonderful,Persona que viaja sola,Habitación Doble - 1 o 2 camas
Eduardo,España,Fantástico,"El trato familiar, la ubicación y el servicio en el comedor. Todo facilidades","The family treatment, the location and the service in the dining room. All facilities",0.0,neutral,77,Me gustó todo,I liked everything,0.4215,positive,13,2023-02-22,2023,2,9.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Albert,España,Se podria mejorar distribucion habitacion,Zona donde estaba ubicado,Area where it was located,0.0,neutral,25,Hubiese estdo bien que las 2 camas hubiesen sido de matrimonio y no una litera y una de matrimonio,It would have been nice if the two beds had been for marriage and not a bunk bed and one for marriage,0.4215,positive,98,2023-02-22,2023,2,9.0,Wonderful,En grupo,Habitación Cuádruple Estándar
Alvaro_lopez,España,Muy bien,"Habitación cuádruple muy grande, con doble baño. Ideal para familias.","Quadruple room very large, with double bathroom. Ideal for families.",0.5267,positive,69,El parking es muy pequeño y problemático para coches grandes.,Parking is very small and problematic for large cars.,-0.4877,negative,61,2023-02-20,2023,2,8.0,Good,En grupo,Habitación Cuádruple Estándar
Jose,España,Buen hotel,El tamaño de la habitación,Room Size,0.0,neutral,26,Todo bien,Everything is good,0.4404,positive,9,2023-02-20,2023,2,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Jose,España,Volveremos,Personal del restaurante extremadamente educado y simpático. No es la primera vez que vamos ni será la última.,"Extremely polite and friendly restaurant staff. It's not the first time we're going, and it won't be the last.",0.5367,positive,110,"creo que el parking debería de tener la posibilidad de reservarse a la vez que la habitación, te puedes encontrar con que llegas al hotel y no hay sitio, como nos pasó, una pena !","i think that the parking should have the possibility of being booked at the same time as the room, you can find that you arrive at the hotel and there is no place, as happened to us, a pity !",-0.5707,negative,179,2023-02-19,2023,2,10.0,Wonderful,En familia,Habitación Triple
Ursula,España,Perfecto,"La ubicación, comodidad, todo limpio, y habitaciones renovadas.","The location, comfort, all clean, and renovated rooms.",0.6369,positive,63,Nada,Nothing,0.0,neutral,4,2023-02-19,2023,2,10.0,Wonderful,En grupo,Habitación Familiar
Lidia,España,Excepcional,todo,everything,0.0,neutral,4,,,,,0,2023-02-16,2023,2,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Analia,Argentina,Excelente estadia!,"Habitación muy comoda y limpia.
Excelente atención del personal de comedor, en especial Muriel.
El regimen de media pension, muy bueno, la comida exquisita.","Very comfortable and clean room.
Excellent attention from the dining room staff, especially Muriel.
The half board regime, very good, exquisite food.",0.9253,positive,156,Podrían mejorar el check in es un poco lento.,They could improve the check in is a bit slow.,0.4404,positive,45,2023-02-15,2023,2,9.0,Wonderful,En familia,Habitación Familiar Deluxe
Maryana,España,Excepcional,"El desayuno muy bueno, todo fresco. Los camareros muy amables y atentos!
La habitación muy acogedora.
La luz de la habitación mencanto, cuando te despiertas y pones la luz no te deslbra. Esta muy bien pensada la instalacion.","Very good breakfast, all fresh. Very friendly and attentive waiters!
The room is very cozy.
The light in the room wakes you up and puts the light on. The installation is very well thought out.",0.8927,positive,224,"Las camas un poco incomodas y duras.
El parking enano, para entrar con mucho cuidado y dar la vuelta al coche hay que hacer milagros. Muy estrechos los pasillos.","The beds are a bit uncomfortable and hard.
The dwarf parking, to enter very carefully and turn the car you have to do miracles. Very narrow corridors.",-0.2975,negative,161,2023-02-14,2023,2,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Paulo,España,excelente,todo en general,"Everything, in general. ",0.0,neutral,15,nada que decir…,I'd say that&#x0D;,0.0,neutral,15,2023-02-13,2023,2,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
María,España,"Sin ninguna duda, repetiré.",La amplitud de la estancia y el buen trato de los trabajadores.,The breadth of the stay and the good treatment of the workers.,0.4404,positive,63,,,,,0,2023-02-12,2023,2,10.0,Wonderful,En pareja,Habitación Doble Deluxe
Diana,España,100% recomendable,"todo perfecto, ubicación, desayuno, atención, todo 👌","everything perfect, location, breakfast, attention, everything 👌",0.5719,positive,52,,,,,0,2023-02-09,2023,2,10.0,Wonderful,En grupo,Habitación Familiar Deluxe
Angel,España,Muy bien,"la habitación es muy grande, la cama principal tambien","the room is very large, the main bed is also",0.0,neutral,54,"no me guardaron parquing ninguno de los dos días y lo pedí.
la cisterna hacía ruido constante.","they didn't keep me parking any of the two days and I asked for it.
the cistern made constant noise.",0.0,neutral,94,2023-02-09,2023,2,8.0,Good,En familia,Habitación Cuádruple Estándar
Tamara,España,Fantástico,Habitación muy amplia y cómoda.,Very spacious and comfortable room.,0.552,positive,31,,,,,0,2023-02-07,2023,2,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Cristina,España,Fantástico,Desayuno buenisimo,Great breakfast,0.6249,positive,18,,,,,0,2023-02-06,2023,2,9.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Mark,España,Muy bien,La habitación es enorme,And the room is huge.,0.3182,positive,23,"Parking pequeño y pocas plazas, tenemos un Nissan QQ","Small car park and few seats, we have a Nissan QQ",-0.6037,negative,52,2023-02-06,2023,2,8.0,Good,En pareja,Habitación Doble Deluxe
Neus,España,Muy buen alojamiento,"Habitación grande y bonita 
Todo muy limpio
Buena ubicación","Large and nice room 
All very clean
Good location",0.839,positive,59,"Todo correcto
No hay nada que no me gustara
Volveremos sin duda","All right.
There's nothing I wouldn't like.
We'll definitely be back.",-0.112,neutral,63,2023-02-05,2023,2,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Anna,España,Buen hotel,"La ubicación, la limpieza, la habitacion àmplia y la ducha.","Location, cleanliness, spacious room and shower.",0.0,neutral,59,"Cada dia teniamos que hacer las camas de las literas, poner el nordico.
El desayuno flojo y los zumos són inbebibles.","Every day we had to make the bunk beds, put the Nordic.
Loose breakfast and juices are unbeatable.",-0.3182,negative,117,2023-02-05,2023,2,8.0,Good,En grupo,Habitación Cuádruple Deluxe
Oriol,España,Muy bien,Ubicacion,Location,0.0,neutral,9,,,,,0,2023-02-03,2023,2,8.0,Good,En pareja,Habitación Doble - 1 o 2 camas
Gaston,España,Fantástico,"Muy buena ubicación, desayuno muy completo","Very good location, very full breakfast",0.4927,positive,42,,,,,0,2023-02-02,2023,2,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
